name,medium,size,year,sold,Notes (not displayed),filename
Woods,Oil on canvas,12 x 9 inches,2021,,,woods.jpg
Sheer Curtains,Oil on canvas,11 x 14 inches,2022,,,sheer-curtains.jpg
Boat Yard,Oil on canvas,10 x 10 inches,2023,,,boat-yard.jpg
Pitcher with Leeks,Oil on canvas,12 x 12 inches,2023,,,pitcher-with-leeks.jpg
Orange and White,Oil on canvas,14 x 11 inches,2023,,,orange-and-white.jpg
Island Trees,Oil on panel,8 x 10 inches,2024,,,island-trees.jpg
Wooden Cow,Oil on board,9 x 12 inches,2024,,,wooden-cow.jpg
Cuttyhunk,Oil on board,9 x 12 inches,2024,,,cuttyhunk.jpg
Lois's Rhubarb,Oil on panel,6 x 6 inches,2024,,,lois-rhubarb.jpg
Jennifer Painting,Oil on canvas,14 x 11 inches,2024,,,jennifer-painting.jpg
Friendship Harbor,Oil on panel,10 x 8 inches,2024,,,friendship-harbor.jpg
Marina,Oil on panel,8 x 10 inches,2024,,,marina.jpg
Rhubarb,Oil on board,12 x 9 inches,2024,,,rhubarb.jpg
