name,size,medium,year,sold,Notes (not displayed),filename
Crescent Beach,14 x 10,watercolor,2020,,,
Mums and Oranges,14 x 10,watercolor,2020,,,
BB Trees (green),6 x 8,watercolor,2022,,,
Lake diptych,Each 6 x 7,watercolor,2021,,,
Oranges in shadow,7 x 10,watercolor,2021,,,
Peaches and Pears,10 x 14,watercolor,2021,,,
Horseradish and Elderberry,9 x 12,watercolor,2022,,,
Two Pots,10 x 8,watercolor,2022,,,
Cranberry Beans,7 x 10,watercolor,2023,,,
Forsythia,9 x 12,watercolor,2021,,,
Neighbors Home at dusk,12 x 9,watercolor,2022,,,
Spatulas,12 x 12,watercolor,2022,,,
Trees over valley,8 x 8,,2021,,May’s,
Monochrome eucalyptus,9 x 12,,2021,,,
Dry hydrangea back,11 x 8,,2022,,,
Trees at BB,8 x 10,,2020,,,
Brass Colander,9 x 12,,2020,,,
Night in the n’hood,10 x 7,,2021,,,
Dusk landscape,7 x 10,,2021,,,
"The Porch ",10 x 15,,2020,,,
The Porch 12 x 12,12 x 12,,2023,,,
Dying Rhododendron,12 x 12,,2022,,,
Shadows on Path,10 x 7,,2021,,,
Autumn Lake,12 x 9,,2020,,,
Misty Morning Trees,8 x 6,,2022,,,
Cabbage and Pears,12 x 16,,2022,,,
Dandelion,8 x 6,,2022,,,
Dandelion in wall,8 x 6,,2022,,,
Farm with cows and sky,9 x 12,,2021,,,
BB course at sunset,12 x 16,,2021,,,
Farm on SVR,6 x 8,,2021,,,
Trees to be saved,15 x 9 framed,,2022,,,
Trees Holding Hands,9 x 12,,2023,,,
Bluestone patio,9 x 12,,2023,,,
Sunny Valley Lane,9 x 12,,2021,,,
Logs in Snow,12 x 9,,2021,,,
Roxy,12 x 9,,2019,,,
Marionettes,9 x 12,,2019,,,
Daydreaming,12 x 9,watercolor,2019,,,
Daffodils (sold),12 x 9,,2019,Sold,,
Driveway Trees in snow,10 x 7,,2022,,,
Stems w scissor,8 x6,,2023,,,
California Tree,10 x 8,,2023,,,
Dying orchid/pillow,8 x 8,,2023,,,
Sardines,8 x 8,,2023,,,
Artichokes,8 x 8,,2022,,,
Dying Tulip (sold),8 x 8,,2023,,,
Lilac,8 x 8,,2023,,,
Watery tulips (2 ),8 x 8,,2023,Sold,,
Ledges,12 x 9,,2023,,,
Pumpkin os stick on mantle,10 x 8,,2021,,,
Kayak,6 x 8,,2020,,,
Orange on counter,8 x 8,,2023,,,
" Beach in winter",12 x 9,,2023,,,
Aloe and pencil,10 x 8,,2023,,,
Bathtub,6 x 4,watercolor,2022,Sold,,
Bike in snow,8 x 10,watercolor,2020,Sold,,
Summer Fruit,14 x 20,watercolor,2023,Sold,,
Plums on the windowsill,7 x 10,watercolor,2023,,,
Close the Bathroom Door,12 x 9,watercolor,2020,Sold,,
Bathroom Door,14 x 11,Oil on canvas,2023,,,
Forcing Forsythia,12 x 12,Oil on canvas,2023,,,
Shack in Phippsburg,10 x 8,Oil on canvas,2019,,,
CT LR,36 x 24,Oil on canvas,2021,,,
Small CT LR,12 x 12,Oil on canvas,2021,,,
Red Flower,6 x 6,watercolor,2024,Sold,,red-flower.jpeg
Morning,9 x 12,Watercolor on paper,2024,,,morning.jpg
